Layer,Name,GEOID,Population,Longitude,Latitude,CDCOVC_2021,CDCOVCR_2021,CHADXHP_2021,CHADXHPR_2021,CDCOVD_2021,CDCOVDR_2021
Community area,Rogers Park,60601,52772,-87.670171,42.00963,3865,6927.9,202,362.1,39,69.9
Community area,Norwood Park,60610,41109,-87.803451,41.985248,3861,8581.1,217,482.3,39,86.7
Community area,Jefferson Park,60611,26201,-87.771165,41.978836,2394,8810.5,123,452.7,22,81
Community area,Forest Glen,60612,19579,-87.758358,41.993938,1808,8901.6,91,448,17,83.7
Community area,North Park,60613,17522,-87.723578,41.983651,1507,7996,71,376.7,16,84.9
Community area,Albany Park,60614,48549,-87.721558,41.968078,4412,9069.4,133,273.4,42,86.3
Community area,Portage Park,60615,63038,-87.763401,41.954043,6046,9221.7,308,469.8,74,112.9
Community area,Irving Park,60616,51911,-87.723457,41.953589,4445,8189,161,296.6,34,62.6
Community area,Dunning,60617,43120,-87.806015,41.946522,4530,10231,266,600.8,52,117.4
Community area,Montclare,60618,14412,-87.798033,41.929306,1309,9502,96,696.9,21,152.4
Community area,Belmont Cragin,60619,78151,-87.765502,41.927275,7539,9590.4,380,483.4,66,84
Community area,West Ridge,60602,77139,-87.695017,42.001583,6246,7817.6,320,400.5,74,92.6
Community area,Hermosa,60620,24127,-87.734741,41.924353,2193,9452.2,130,560.3,16,69
Community area,Avondale,60621,36245,-87.711219,41.938673,3221,8748,130,353.1,16,43.5
Community area,Logan Square,60622,71742,-87.699149,41.922768,6139,8464.8,176,242.7,29,40
Community area,Humboldt Park,60623,53832,-87.720917,41.90008,5042,9038.3,349,625.6,44,78.9
Community area,West Town,60624,87942,-87.676358,41.901216,8546,9964.4,254,296.2,27,31.5
Community area,Austin,60625,96753,-87.763117,41.894113,9231,9485.9,669,687.5,128,131.5
Community area,West Garfield Park,60626,17423,-87.730233,41.878602,1477,8543,160,925.4,20,115.7
Community area,East Garfield Park,60627,19995,-87.705892,41.878923,1910,9594.1,168,843.9,25,125.6
Community area,Near West Side,60628,67817,-87.663513,41.874016,6657,10238.5,303,466,38,58.4
Community area,North Lawndale,60629,34817,-87.717218,41.860197,3367,11027.4,302,989.1,35,114.6
Community area,Uptown,60603,52255,-87.655899,41.965822,4741,8019.4,147,248.7,35,59.2
Community area,South Lawndale,60630,71402,-87.714,41.839091,4434,6309,274,389.9,39,55.5
Community area,Lower West Side,60631,33716,-87.66757,41.850277,2887,8595.3,116,345.4,22,65.5
Community area,Loop,60632,39135,-87.625194,41.878881,3241,11953.7,73,269.2,,
Community area,Near South Side,60633,27044,-87.620344,41.857196,2350,46269,99,1949.2,14,275.6
Community area,Armour Square,60634,13847,-87.633976,41.842083,622,4682.3,51,383.9,,
Community area,Douglas,60635,17630,-87.61868,41.835122,1683,7909.6,171,803.6,22,103.4
Community area,Oakland,60636,4280,-87.603217,41.823754,660,8903.3,65,876.8,,
Community area,Fuller Park,60637,2549,-87.632427,41.809082,210,9489.4,25,1129.7,,
Community area,Grand Boulevard,60638,24586,-87.61786,41.812947,2489,13930.7,219,1225.7,22,123.1
Community area,Kenwood,60639,14716,-87.596186,41.808918,1450,7841.2,87,470.5,12,64.9
Community area,Lincoln Square,60604,40412,-87.687513,41.975182,2884,6811.8,74,174.8,16,37.8
Community area,Washington Park,60640,12709,-87.617936,41.792356,1215,10467.8,137,1180.3,15,129.2
Community area,Hyde Park,60641,23914,-87.592305,41.794088,1719,5968.5,90,312.5,13,45.1
Community area,Woodlawn,60642,24630,-87.594924,41.778877,2187,8539.6,217,847.3,13,50.8
Community area,South Shore,60643,45611,-87.57279,41.761583,4437,8441,471,896,57,108.4
Community area,Chatham,60644,31804,-87.615965,41.740206,2691,8283.6,317,975.8,40,123.1
Community area,Avalon Park,60645,9359,-87.586347,41.744197,958,9793.5,92,940.5,18,184
Community area,South Chicago,60646,25975,-87.551435,41.741243,2249,8717.1,246,953.5,25,96.9
Community area,Burnside,60647,2514,-87.59647,41.728181,227,8559.6,26,980.4,,
Community area,Calumet Heights,60648,13085,-87.57272,41.729673,1182,9203.5,128,996.7,24,186.9
Community area,Roseland,60649,38934,-87.623366,41.706588,3820,10633,424,1180.2,58,161.4
Community area,North Center,60605,35150,-87.683839,41.947811,2851,7685.9,71,191.4,,
Community area,Pullman,60650,6866,-87.598252,41.706131,766,10717.8,80,1119.4,11,153.9
Community area,South Deering,60651,14125,-87.570058,41.690639,1287,8468.2,135,888.3,20,131.6
Community area,East Side,60652,21529,-87.534907,41.707306,1930,7900.4,122,499.4,18,73.7
Community area,West Pullman,60653,25788,-87.635745,41.67382,2610,8653.6,271,898.5,37,122.7
Community area,Riverdale,60654,7229,-87.602849,41.660137,476,5999.5,40,504.2,,
Community area,Hegewisch,60655,9884,-87.556803,41.668188,889,9618.1,30,324.6,12,129.8
Community area,Garfield Ridge,60656,35352,-87.764246,41.796185,3391,9238.8,202,550.3,44,119.9
Community area,Archer Heights,60657,14282,-87.726365,41.810873,989,7276.9,47,345.8,10,73.6
Community area,Brighton Park,60658,45141,-87.698859,41.817364,2873,6650.9,173,400.5,20,46.3
Community area,McKinley Park,60659,15927,-87.6725,41.829927,1007,6472.6,59,379.2,,
Community area,Lake View,60606,91836,-87.656001,41.944236,9730,9482.4,146,142.3,18,17.5
Community area,Bridgeport,60660,33593,-87.648784,41.836151,2171,6306.1,134,389.2,19,55.2
Community area,New City,60661,43510,-87.659171,41.809017,3205,8929.6,292,813.6,47,130.9
Community area,West Elsdon,60662,18249,-87.724213,41.792977,1611,8939.1,92,510.5,16,88.8
Community area,Gage Park,60663,39439,-87.696433,41.795429,2753,8366.8,148,449.8,22,66.9
Community area,Clearing,60664,24519,-87.768517,41.779582,2312,9064.2,133,521.4,20,78.4
Community area,West Lawn,60665,33543,-87.726927,41.769774,2926,9031.4,146,450.6,36,111.1
Community area,Chicago Lawn,60666,55789,-87.695667,41.771849,4663,9112.9,356,695.7,44,86
Community area,West Englewood,60667,29899,-87.666598,41.775926,2668,10151.4,316,1202.3,42,159.8
Community area,Englewood,60668,24322,-87.642502,41.777201,2148,10202.3,289,1372.7,53,251.7
Community area,Greater Grand Crossing,60669,31543,-87.616139,41.763251,2867,9782,354,1207.8,42,143.3
Community area,Lincoln Park,60607,63433,-87.649491,41.922696,6549,9403.9,149,214,20,28.7
Community area,Ashburn,60670,41280,-87.708363,41.745756,4279,9677.7,332,750.9,41,92.7
Community area,Auburn Gresham,60671,44959,-87.656305,41.744203,4074,8480.6,544,1132.4,89,185.3
Community area,Beverly,60672,19950,-87.675072,41.713148,1948,9779.6,91,456.9,17,85.3
Community area,Washington Heights,60673,25075,-87.648897,41.717495,2707,10147.7,248,929.7,38,142.5
Community area,Mount Greenwood,60674,18633,-87.713189,41.694876,2123,10900,93,477.5,,
Community area,Morgan Park,60675,21714,-87.669062,41.689729,2132,7629.8,177,633.4,26,93
Community area,O'Hare,60676,14416,-87.893699,41.975696,1326,5494.8,79,327.4,,
Community area,Edgewater,60677,47343,-87.663419,41.986719,3724,6411.4,133,229,32,55.1
Community area,Near North Side,60608,95467,-87.633318,41.899611,8981,9117.3,289,293.4,23,23.3
Community area,Edison Park,60609,11521,-87.81378,42.007627,1231,10709.9,43,374.1,,
